City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Tekeli,KZ,2021-12-13 00:41:14,44.83,78.8239,28.65,95,98,3.44,light snow
223,Umuahia,NG,2021-12-13 00:45:02,5.5263,7.4896,75.36,92,91,3.67,overcast clouds
224,Monrovia,LR,2021-12-13 00:45:03,6.3005,-10.7969,76.77,83,39,5.99,scattered clouds
225,Capua,IT,2021-12-13 00:45:03,41.0997,14.2201,47.71,52,0,3.78,clear sky
226,Beloha,MG,2021-12-13 00:38:11,-25.1667,45.05,72.66,73,8,9.84,clear sky
227,Talnakh,RU,2021-12-13 00:45:04,69.4865,88.3972,-25.8,80,24,1.16,few clouds
228,Wilmington,US,2021-12-13 00:36:24,34.2257,-77.9447,48.85,76,1,3.44,clear sky
229,Tashtagol,RU,2021-12-13 00:45:04,52.7657,87.8894,12.42,95,100,4.79,overcast clouds
230,Cayenne,GF,2021-12-13 00:35:32,4.9333,-52.3333,77.04,91,90,1.14,light rain
231,Karasuk,RU,2021-12-13 00:45:05,53.7377,78.0403,6.35,94,98,10.65,overcast clouds
232,Marienburg,PL,2021-12-13 00:45:05,54.0359,19.0266,31.12,96,78,5.7,broken clouds
233,Farafangana,MG,2021-12-13 00:35:10,-22.8167,47.8333,73.26,83,36,2.59,scattered clouds
234,Necochea,AR,2021-12-13 00:42:55,-38.5473,-58.7368,59.04,70,15,4.74,few clouds
235,Tiznit,MA,2021-12-13 00:36:40,29.5833,-9.5,60.4,36,89,5.61,overcast clouds
236,Aswan,EG,2021-12-13 00:37:03,24.0934,32.907,72.7,60,0,11.5,clear sky
237,Sao Filipe,CV,2021-12-13 00:35:45,14.8961,-24.4956,74.66,73,100,7.45,overcast clouds
238,Kavarna,BG,2021-12-13 00:45:06,43.4333,28.3333,42.58,90,100,10.54,overcast clouds
239,Katete,UG,2021-12-13 00:45:06,-0.7818,29.7544,64.49,68,100,3.06,overcast clouds
240,Mwinilunga,ZM,2021-12-13 00:37:41,-11.7358,24.4293,61.93,93,31,4.52,scattered clouds
241,Chichli,IN,2021-12-13 00:45:07,22.8333,78.8167,54.95,58,0,4.05,clear sky
242,Carutapera,BR,2021-12-13 00:36:17,-1.195,-46.02,80.11,81,26,8.32,scattered clouds
243,Surt,LY,2021-12-13 00:45:07,31.2089,16.5887,60.01,49,89,11.83,overcast clouds
244,Calama,CL,2021-12-13 00:45:07,-22.4667,-68.9333,61.29,21,11,21.85,few clouds
245,Kalmunai,LK,2021-12-13 00:35:53,7.4167,81.8167,77.31,89,97,7.18,overcast clouds
246,Apiai,BR,2021-12-13 00:45:08,-24.5094,-48.8425,65.1,98,100,3.58,overcast clouds
247,Kuryk,KZ,2021-12-13 00:45:08,43.2,51.65,27.55,59,0,8.57,clear sky
248,Ampanihy,MG,2021-12-13 00:45:09,-24.7,44.75,73.74,71,100,7.47,overcast clouds
249,Iroquois Falls,CA,2021-12-13 00:45:09,48.7669,-80.6831,32.14,85,100,12.97,overcast clouds
250,Bengkulu,ID,2021-12-13 00:34:47,-3.8004,102.2655,78.73,78,79,2.8,broken clouds
251,Darnah,LY,2021-12-13 00:45:09,32.767,22.6367,57.07,77,6,10.38,clear sky
252,Abong Mbang,CM,2021-12-13 00:45:10,3.9833,13.1833,67.21,55,100,2.91,overcast clouds
253,Letka,RU,2021-12-13 00:45:10,59.6011,49.4232,5.92,94,61,6.64,broken clouds
254,Aqtobe,KZ,2021-12-13 00:45:10,50.2797,57.2072,8.69,85,0,4.47,clear sky
255,Ancud,CL,2021-12-13 00:41:05,-41.8697,-73.8203,53.42,79,100,6.71,overcast clouds
256,Saint-Joseph,RE,2021-12-13 00:42:52,-21.3667,55.6167,75.58,74,18,11.83,few clouds
257,Vila Franca Do Campo,PT,2021-12-13 00:36:56,37.7167,-25.4333,56.19,56,100,15.3,overcast clouds
258,Tabuk,PH,2021-12-13 00:45:11,17.4189,121.4443,71.74,85,100,7.34,overcast clouds
